Year,Month,Day,"Freeport, IL","Orr, IL","Urbana-Champaign II, IL","Columbia City, IN","Lafayette, IN","Kanawha, IA","Hancock, WI"
2018,May,18,0,,2,0,0,0,0
2018,May,25,0,,5,0,0,0,0
2018,Jun,1,4,,47,0,,,0
2018,Jun,8,3,,4,0,1,,0
2018,Jun,15,0,,8,0,0,0,0
2018,Jun,22,0,,7,0,0,,
2018,Jun,29,0,,5,0,0,,0
2018,Jul,6,0,,27,0,0,,0
2018,Jul,13,1,,16,0,0,0,0
2018,Jul,20,1,,17,0,1,0,0
2018,Jul,27,0,,7,0,0,0,0
2018,Aug,3,0,,6,0,0,0,0
2018,Aug,10,1,,3,0,0,0,0
2018,Aug,17,1,,2,,0,0,0
2018,Aug,24,2,,5,0,0,0,
2018,Aug,31,0,,2,,0,0,0
2018,Sept,7,0,,0,,0,,0
2018,Sept,14,0,,1,,0,0,0
2018,Sept,21,0,,0,,0,0,
2018,Sept,28,0,,0,,0,0,0
2018,Oct,5,0,,0,,0,0,0
2018,Oct,12,,,0,,0,0,
2018,Oct,19,0,,0,,0,0,
2019,May,17,0,,0,0,0,0,0
2019,May,24,0,,0,0,0,0,
2019,May,31,2,,0,0,0,0,0
2019,Jun,7,0,,0,0,0,27,0
2019,Jun,14,7,,0,0,0,3,0
2019,Jun,21,2,,0,0,0,0,
2019,Jun,28,5,,0,0,0,0,0
2019,Jul,5,13,,0,0,0,0,
2019,Jul,12,5,,0,0,0,,0
2019,Jul,19,9,,0,0,0,0,0
2019,Jul,26,6,,1,0,0,0,2
2019,Aug,2,23,,0,0,0,0,
2019,Aug,9,3,,0,0,0,0,3
2019,Aug,16,4,,0,0,0,0,
2019,Aug,23,1,,0,0,0,0,2
2019,Aug,30,1,,5,0,0,0,0
2019,Sept,6,1,,2,0,0,1,
2019,Sept,13,0,,2,0,0,1,
2019,Sept,20,0,,0,0,0,3,
2019,Sept,27,0,,0,0,0,0,
2019,Oct,4,0,,0,0,0,0,
2019,Oct,11,0,,0,0,0,0,
2019,Oct,18,,,0,0,0,0,
2020,May,22,0,0,2,0,0,0,0
2020,May,29,1,0,4,0,10,1,0
2020,Jun,5,4,0,1,0,3,8,0
2020,Jun,12,1,0,20,0,1,5,0
2020,Jun,19,1,0,36,1,17,,0
2020,Jun,26,0,0,3,0,0,,0
2020,Jul,3,0,n.s.,4,0,0,17,
2020,Jul,10,2,0,10,0,0,,0
2020,Jul,17,0,0,5,0,0,,
2020,Jul,24,3,0,8,1,3,,0
2020,Jul,31,1,0,13,,0,,
2020,Aug,7,0,0,4,0,0,11,2
2020,Aug,14,,0,0,,0,1,0
2020,Aug,21,0,0,0,0,0,14,4
2020,Aug,28,,n.s.,2,0,0,5,
2020,Sept,4,1,0,2,0,1,0,2
2020,Sept,11,0,0,1,,0,0,
2020,Sept,18,2,0,4,,0,,1
2020,Sept,25,,0,7,0,1,0,
2020,Oct,2,0,0,1,1,0,0,3
2020,Oct,9,0,1,2,0,0,4,
2020,Oct,16,1,0,1,0,0,0,
2020,Oct,23,0,0,1,0,0,0,
2021,May,21,,0,8,0,0,0,0
2021,May,28,,0,4,0,0,2,2
2021,Jun,4,,1,1,0,0,4,3
2021,Jun,11,,9,8,13,3,14,
2021,Jun,18,,29,0,,3,9,1
2021,Jun,25,,6,0,9,0,4,
2021,Jul,2,,2,,1,1,3,3
2021,Jul,9,,0,0,0,0,9,
2021,Jul,16,,0,3,2,0,2,2
2021,Jul,23,,8,3,0,0,38,0
2021,Jul,30,,1,0,2,7,9,2
2021,Aug,6,,0,0,,0,2,4
2021,Aug,13,,0,1,2,0,4,0
2021,Aug,20,,1,0,4,0,0,35
2021,Aug,27,,0,0,1,0,0,0
2021,Sept,3,,0,0,0,0,1,0
2021,Sept,10,,0,0,0,0,0,
2021,Sept,17,,0,0,0,0,7,0
2021,Sept,24,,0,0,0,1,8,
2021,Oct,1,,2,1,2,11,6,
2021,Oct,8,,0,0,0,0,6,
2021,Oct,15,,0,0,0,0,0,
2021,Oct,22,,0,0,0,0,3,
